Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
ETSYF,WISDOMTREE SECS CORN ETF,Pink Current,0.480000,,0,Structured Product,United Kingdom,England
HCHDF,HOCHSCHILD MNG PLC ORD,Pink Current,2.800000,5.660400,8176,Foreign Ordinary Shares,United Kingdom,
BBAVF,SIGNATURE AVIATION PLC,Pink Current,5.600000,,0,Foreign Ordinary Shares,United Kingdom,England
BBAVY,SIGNATURE AVITN UNSP/ADR,Pink Current,22.270000,,15,ADRs,United Kingdom,England
CRNCY,CAIRN ENERGY UNSP/ADR,Pink Current,4.410000,-10.638300,120,ADRs,United Kingdom,
GRPTY,GETLINK SE UNSP/ADR,Pink Current,30.800000,,0,ADRs,United Kingdom,
PZCUY,PZ CUSSONS PLC UNSP/ADR,Pink Current,5.620000,,0,ADRs,United Kingdom,England
SHMCF,RENEWI PLC ORD,Pink Current,0.559900,,0,Foreign Ordinary Shares,United Kingdom,
FPLPF,PROVIDENT FINCL PLC ORD,Pink Current,1.932200,,0,Foreign Ordinary Shares,United Kingdom,
FPLPY,PROVIDENT FINCL PLC S/ADR,Pink Current,2.640000,,0,ADRs,United Kingdom,
PFODF,PREMIER FOODS PLC ORD,Pink Current,1.320000,,0,Foreign Ordinary Shares,United Kingdom,
PRRFY,PREMIER FOODS UNSP/ADR,Pink Current,6.765000,,0,ADRs,United Kingdom,
TGOPF,3I GROUP ORD,Pink Current,16.069125,,0,Foreign Ordinary Shares,United Kingdom,
TGOPY,3I GROUP PLC UNSP/ADR,Pink Current,7.965000,0.669900,1244,ADRs,United Kingdom,
IFJPY,INFORMA PLC S/ADR,Pink Current,15.530000,-0.391300,11270,ADRs,United Kingdom,
RBGLY,RECKITT BENCKISR GP S/ADR,Pink Current,18.190000,0.055600,196779,ADRs,United Kingdom,
RBGPF,RECKITT BENCKISER GRP ORD,Pink Current,90.610000,2.084300,1277,Foreign Ordinary Shares,United Kingdom,
DPUKY,DOMINOS PIZZA U&I UNS/ADR,Pink Current,9.760000,0.618600,11218,ADRs,United Kingdom,
SDIPF,FRASERS GROUP PLC,Pink Current,4.010000,,0,Foreign Ordinary Shares,United Kingdom,
SLNCF,SILENCE THERAPEUTICS ORD,Pink Current,7.350000,-5.769200,400,Foreign Ordinary Shares,United Kingdom,
ITEGY,HYVE GROUP PLC UNSP/ADR,Pink Current,1.520000,,0,ADRs,United Kingdom,England
ITEPF,HYVE GROUP PLC NEW,Pink Current,1.700000,,0,Foreign Ordinary Shares,United Kingdom,England
ROXIF,CASPIAN SUNRISE PLC ORD,Pink Current,0.038400,,0,Foreign Ordinary Shares,United Kingdom,
DIALF,DIALIGHT PLC ORD,Pink Current,3.500000,,0,Foreign Ordinary Shares,United Kingdom,England
RCKHF,ROCKHOPPER EXPL PLC ORD,Pink Current,0.170000,,0,Foreign Ordinary Shares,United Kingdom,
FNLPF,FRESNILLO PLC ORD,Pink Current,12.120000,1.720500,29769,Foreign Ordinary Shares,United Kingdom,England
IOFNF,IOFINA PLC ORD,Pink Current,0.166000,,0,Foreign Ordinary Shares,United Kingdom,
LRSV,LINK RESERVATIONS INC,Pink Current,0.033700,24.814800,3186694,Common Stock,United Kingdom,
SMWPY,SMITHS NEWS  PLC UNSP/ADR,Pink Current,4.130000,,0,ADRs,United Kingdom,
MONDF,MONDI PLC ORD,Pink Current,26.342500,,93,Foreign Ordinary Shares,United Kingdom,
MONDY,MONDI PLC UNSP/ADR,Pink Current,52.500000,-0.539900,1442,ADRs,United Kingdom,
JZCLF,JZ CAP PTNRS LTD ORD,Pink Current,1.160000,,0,Foreign Ordinary Shares,United Kingdom,England
AJMPF,ASHMORE GROUP PLC ORD,Pink Current,5.350000,,0,Foreign Ordinary Shares,United Kingdom,
SVLLY,SAVILLS PLC UNSP/ADR,Pink Current,0.000000,,0,ADRs,United Kingdom,England
SVLPF,SAVILLS PLC ORD,Pink Current,15.507700,,0,Foreign Ordinary Shares,United Kingdom,England
NSAV,NET SAVINGS LINK INC,Pink Current,0.012450,-28.857100,148701189,Common Stock,United Kingdom,England
IHSEF,ISHARES PLC ORD SHS,Pink Current,25.963000,,0,Structured Product,United Kingdom,England
IHSXF,ISHARES PLC MSCI NA FD,Pink Current,75.000000,,0,Structured Product,United Kingdom,England
ITBFF,ISHARES PLC USD TR BD FND,Pink Current,135.500000,0.968700,449,Structured Product,United Kingdom,England
UEHPY,ULTRA ELECT HLDG UNSP/ADR,Pink Current,14.599200,,0,ADRs,United Kingdom,
MRWSF,MORRISON W SPRMRKT PLC,Pink Current,2.480000,,22,Foreign Ordinary Shares,United Kingdom,
MRWSY,WM MORRISON UNSP/ADR,Pink Current,12.755000,0.670900,8517,ADRs,United Kingdom,
SLLFF,GUSBOURNE PLC ORD,Pink Current,0.860000,,0,Foreign Ordinary Shares,United Kingdom,
OIGLF,CHARIOT OIL & GAS LTD,Pink Current,0.133100,,0,Foreign Ordinary Shares,United Kingdom,
BBRYF,BURBERRY GROUP PLC,Pink Current,25.630000,-0.985100,798,Foreign Ordinary Shares,United Kingdom,
BURBY,BURBERRY GROUP PLC S/ADR,Pink Current,26.520000,-0.655600,18552,ADRs,United Kingdom,
BSEAF,BRAEMAR SHIPPING SRVS ORD,Pink Current,2.860700,,0,Foreign Ordinary Shares,United Kingdom,
NBRNF,NBROWN GROUP PLC ORD,Pink Current,0.822600,,0,Foreign Ordinary Shares,United Kingdom,
VALPQ,VALARIS PLC ORD A,Pink Current,0.076450,-7.220900,494776,Foreign Ordinary Shares,United Kingdom,England
ISHOF,ISHARES III PLC SHS,Pink Current,87.373700,,174,Structured Product,United Kingdom,England
ISSIF,ISHARES III PLC USD ORD,Pink Current,179.900000,,0,Structured Product,United Kingdom,England
IZIZF,ISHARES III PLC ACCUM,Pink Current,43.600000,,16,Structured Product,United Kingdom,England
ABCZF,ABCAM PLC ORD,Pink Current,19.000000,,0,Foreign Ordinary Shares,United Kingdom,England
SEPGF,SUPERGROUP PLC ORD,Pink Current,3.300000,,0,Foreign Ordinary Shares,United Kingdom,
SEPGY,SUPERDRY PLC UNSP/ADR,Pink Current,3.700000,,0,ADRs,United Kingdom,
ENQUF,ENQUEST PLC ORD,Pink Current,0.200000,,0,Foreign Ordinary Shares,United Kingdom,
TKTCY,TALKTALK TELECOM GRP ADR,Pink Current,6.800000,,0,ADRs,United Kingdom,
LSLPF,LSL PROPERTY SVCS PLC ORD,Pink Current,3.850000,,0,Foreign Ordinary Shares,United Kingdom,
